directory,window_size,window_mode,execution_time_sec,avg_angle_difference,visual_prediction_percent,error
input/synthetic1,1,simple,37.42,0.1,100.0,
input/synthetic1,10,simple,195.16,0.05,100.0,
input/synthetic1,10,quadratic,103.9,0.08,100.0,
input/synthetic2,1,simple,576.27,0.11,100.0,
input/synthetic2,10,simple,2121.74,0.03,100.0,
input/synthetic2,10,quadratic,1631.54,0.02,100.0,
input/synthetic3,1,simple,174.44,0.22,100.0,
input/synthetic3,10,simple,878.35,0.08,100.0,
input/synthetic3,10,quadratic,595.82,0.05,100.0,
input/synthetic4,1,simple,103.27,0.65,99.9,
input/synthetic4,10,simple,512.03,0.01,100.0,
input/synthetic4,10,quadratic,324.87,0.02,98.9,